year_month,count
2015-11-01,10
2015-12-01,5
2016-01-01,3
2016-02-01,11
2016-03-01,10
2016-04-01,17
2016-05-01,7
2016-06-01,11
2016-07-01,5
2016-08-01,8
2016-09-01,6
2016-10-01,8
2016-11-01,5
2016-12-01,3
2017-01-01,5
2017-02-01,5
2017-03-01,7
2017-04-01,9
2017-05-01,9
2017-06-01,10
2017-07-01,7
2017-08-01,7
2017-09-01,3
2017-10-01,8
2017-11-01,7
2017-12-01,6
2018-01-01,8
2018-02-01,9
2018-03-01,10
2018-04-01,12
2018-05-01,13
2018-06-01,6
2018-07-01,11
2018-08-01,7
2018-09-01,8
2018-10-01,12
2018-11-01,9
2018-12-01,10
2019-01-01,9
2019-02-01,2
2019-03-01,11
2019-04-01,14
2019-05-01,13
2019-06-01,35
2019-07-01,15
2019-08-01,9
2019-09-01,8
2019-10-01,10
2019-11-01,10
2019-12-01,7
2020-01-01,6
2020-02-01,11
2020-03-01,11
2020-04-01,10
2020-05-01,16
2020-06-01,11
2020-07-01,14
2020-08-01,8
2020-09-01,6
2020-10-01,13
2020-11-01,9
2020-12-01,5
2021-01-01,6
2021-02-01,10
2021-03-01,14
2021-04-01,9
2021-05-01,10
2021-06-01,10
2021-07-01,13
2021-08-01,13
2021-09-01,12
2021-10-01,10
2021-11-01,11
2021-12-01,13
2022-01-01,18
2022-02-01,12
2022-03-01,8
2022-04-01,15
2022-05-01,14
2022-06-01,3
2022-07-01,10
2022-08-01,15
2022-09-01,7
2022-10-01,10
2022-11-01,9
2022-12-01,5
2023-01-01,9
2023-02-01,7
2023-03-01,13
2023-04-01,15
2023-05-01,8
2023-06-01,13
