year_month,count
2015-01-01,65
2015-02-01,66
2015-03-01,32
2015-04-01,28
2015-05-01,29
2015-06-01,26
2015-07-01,34
2015-08-01,24
2015-09-01,29
2015-10-01,29
2015-11-01,50
2015-12-01,34
2016-01-01,25
2016-02-01,24
2016-03-01,31
2016-04-01,32
2016-05-01,35
2016-06-01,41
2016-07-01,39
2016-08-01,35
2016-09-01,29
2016-10-01,46
2016-11-01,25
2016-12-01,36
2017-01-01,46
2017-02-01,37
2017-03-01,36
2017-04-01,42
2017-05-01,41
2017-06-01,39
2017-07-01,52
2017-08-01,45
2017-09-01,39
2017-10-01,46
2017-11-01,58
2017-12-01,66
2018-01-01,73
2018-02-01,68
2018-03-01,72
2018-04-01,83
2018-05-01,72
2018-06-01,48
2018-07-01,52
2018-08-01,65
2018-09-01,69
2018-10-01,61
2018-11-01,62
2018-12-01,47
2019-01-01,54
2019-02-01,43
2019-03-01,62
2019-04-01,64
2019-05-01,70
2019-06-01,64
2019-07-01,52
2019-08-01,63
2019-09-01,50
2019-10-01,71
2019-11-01,65
2019-12-01,65
2020-01-01,50
2020-02-01,61
2020-03-01,63
2020-04-01,60
2020-05-01,65
2020-06-01,45
2020-07-01,50
2020-08-01,53
2020-09-01,61
2020-10-01,52
2020-11-01,61
2020-12-01,73
2021-01-01,67
2021-02-01,49
2021-03-01,53
2021-04-01,53
2021-05-01,48
2021-06-01,62
2021-07-01,48
2021-08-01,62
2021-09-01,57
2021-10-01,50
2021-11-01,66
2021-12-01,62
2022-01-01,63
2022-02-01,65
2022-03-01,55
2022-04-01,57
2022-05-01,79
2022-06-01,65
2022-07-01,114
2022-08-01,65
2022-09-01,42
2022-10-01,54
2022-11-01,65
2022-12-01,75
2023-01-01,70
2023-02-01,81
2023-03-01,66
2023-04-01,95
2023-05-01,66
2023-06-01,60
